F1,Url_spotify,Track,Url_youtube,Title,Views,Likes,Stream
114,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,So What,https://www.youtube.com/watch?v=FJfFZqTlWrQ,P!nk - So What (Official Video),432775314,2187945,471672024
115,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,What About Us,https://www.youtube.com/watch?v=ClU3fctbGls,P!NK - What About Us (Official Video),339837769,1819636,662431775
116,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Cover Me In Sunshine,https://www.youtube.com/watch?v=vGZhMIXH62M,"P!NK, Willow Sage Hart - Cover Me In Sunshine (Official Video)",80575503,948515,346097538
117,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,TRUSTFALL,https://www.youtube.com/watch?v=D2KE2a5qo0g,P!NK - TRUSTFALL (Official Video),3309247,146755,2790105
118,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Who Knew,https://www.youtube.com/watch?v=NJWIbIe0N90,P!nk - Who Knew (Official Video),168736063,611231,219363750
119,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,True Love (feat. Lily Allen),https://www.youtube.com/watch?v=zsmUOdmm02A,P!nk - True Love (Official Video) ft. Lily Allen,149977268,938718,170002964
120,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Mockingbird,https://www.youtube.com/watch?v=S9bCLPwzSC0,Eminem - Mockingbird [Official Music Video],719661717,5550929,908006704
121,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Without Me,https://www.youtube.com/watch?v=YVkUvmDQ3HY,Eminem - Without Me (Official Music Video),1590485349,11469490,1457351902
122,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,The Real Slim Shady,https://www.youtube.com/watch?v=eJO5HU_7_1w,Eminem - The Real Slim Shady (Official Video - Clean Version),777507160,6489755,1232567233
123,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Superman,https://www.youtube.com/watch?v=8kYkciD9VjU,Eminem - Superman (Clean Version) ft. Dina Rae,139257221,950561,466021760
124,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Till I Collapse,https://www.youtube.com/watch?v=3m_QN8P93IA,Eminem - Till I Collapse Feat. Nate Dogg [OFFICIAL MUSIC VIDEO],1931315,18992,1548871694
125,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,Stan,https://www.youtube.com/watch?v=gOMhN-hfMtY,Eminem - Stan (Long Version) ft. Dido,623027280,5152714,799979337
